"train/global_step","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - _step","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - _step__MIN","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - _step__MAX","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - train/reward","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - train/reward__MIN","Qwen/Qwen2.5-1.5B-Instruct-r8-g64-1756182413 - train/reward__MAX","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - _step","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - _step__MIN","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - _step__MAX","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - train/reward","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - train/reward__MIN","Qwen/Qwen2.5-0.5B-Instruct-r8-g64-1756181910 - train/reward__MAX"
"56","1623","1623","1623","0.9224684238433838","0.9224684238433838","0.9224684238433838","951","951","951","0.9376394748687744","0.9376394748687744","0.9376394748687744"
"57","1652","1652","1652","0.9681320786476135","0.9681320786476135","0.9681320786476135","968","968","968","0.9364153146743774","0.9364153146743774","0.9364153146743774"
"58","1681","1681","1681","0.906994640827179","0.906994640827179","0.906994640827179","985","985","985","0.8919116258621216","0.8919116258621216","0.8919116258621216"
"59","1710","1710","1710","0.9681353569030762","0.9681353569030762","0.9681353569030762","1002","1002","1002","0.9222038984298706","0.9222038984298706","0.9222038984298706"
"60","1739","1739","1739","0.9222656488418579","0.9222656488418579","0.9222656488418579","1019","1019","1019","0.9416531920433044","0.9416531920433044","0.9416531920433044"
"61","1768","1768","1768","0.9070179462432861","0.9070179462432861","0.9070179462432861","1036","1036","1036","0.9046528339385986","0.9046528339385986","0.9046528339385986"
"62","1797","1797","1797","0.9225015640258789","0.9225015640258789","0.9225015640258789","1053","1053","1053","0.9085809588432312","0.9085809588432312","0.9085809588432312"
"63","1826","1826","1826","0.9376397728919983","0.9376397728919983","0.9376397728919983","1070","1070","1070","0.9681674242019653","0.9681674242019653","0.9681674242019653"
"64","1855","1855","1855","0.9833097457885742","0.9833097457885742","0.9833097457885742","1087","1087","1087","0.9225600361824036","0.9225600361824036","0.9225600361824036"
"65","1884","1884","1884","0.9376776814460754","0.9376776814460754","0.9376776814460754","1104","1104","1104","0.9069784879684448","0.9069784879684448","0.9069784879684448"
"66","1913","1913","1913","0.9832605123519897","0.9832605123519897","0.9832605123519897","1121","1121","1121","0.9225010871887207","0.9225010871887207","0.9225010871887207"
"67","1942","1942","1942","0.9528908133506775","0.9528908133506775","0.9528908133506775","1138","1138","1138","0.8763936758041382","0.8763936758041382","0.8763936758041382"
"68","1971","1971","1971","0.9374973773956299","0.9374973773956299","0.9374973773956299","1155","1155","1155","0.9070597290992737","0.9070597290992737","0.9070597290992737"
"69","2000","2000","2000","0.9528399705886841","0.9528399705886841","0.9528399705886841","1172","1172","1172","0.9374202489852905","0.9374202489852905","0.9374202489852905"
"70","2029","2029","2029","0.9681157469749451","0.9681157469749451","0.9681157469749451","1189","1189","1189","0.937613844871521","0.937613844871521","0.937613844871521"
"71","2058","2058","2058","0.9678957462310791","0.9678957462310791","0.9678957462310791","1206","1206","1206","0.9680022597312927","0.9680022597312927","0.9680022597312927"
"72","2087","2087","2087","0.9528638124465942","0.9528638124465942","0.9528638124465942","1223","1223","1223","0.9528073072433472","0.9528073072433472","0.9528073072433472"
"73","2116","2116","2116","0.9529063701629639","0.9529063701629639","0.9529063701629639","1240","1240","1240","0.9372487664222717","0.9372487664222717","0.9372487664222717"
"74","2145","2145","2145","0.9681209325790405","0.9681209325790405","0.9681209325790405","1257","1257","1257","0.9527755975723267","0.9527755975723267","0.9527755975723267"
"75","2174","2174","2174","0.9832631349563599","0.9832631349563599","0.9832631349563599","1274","1274","1274","0.9529528617858887","0.9529528617858887","0.9529528617858887"
"76","2203","2203","2203","0.9652885794639587","0.9652885794639587","0.9652885794639587","1291","1291","1291","0.96800696849823","0.96800696849823","0.96800696849823"
"77","2232","2232","2232","0.9526501893997192","0.9526501893997192","0.9526501893997192","1308","1308","1308","0.968194842338562","0.968194842338562","0.968194842338562"
"78","2261","2261","2261","0.9680410623550415","0.9680410623550415","0.9680410623550415","1325","1325","1325","0.9351159334182739","0.9351159334182739","0.9351159334182739"
"79","2290","2290","2290","0.9680294990539551","0.9680294990539551","0.9680294990539551","1342","1342","1342","0.968147873878479","0.968147873878479","0.968147873878479"
"80","2319","2319","2319","0.952639102935791","0.952639102935791","0.952639102935791","1359","1359","1359","0.9680830240249634","0.9680830240249634","0.9680830240249634"
"81","2348","2348","2348","0.9527037143707275","0.9527037143707275","0.9527037143707275","1376","1376","1376","0.9834124445915222","0.9834124445915222","0.9834124445915222"
"82","2377","2377","2377","0.9225068688392639","0.9225068688392639","0.9225068688392639","1393","1393","1393","0.9681569337844849","0.9681569337844849","0.9681569337844849"
"83","2406","2406","2406","0.9679077863693237","0.9679077863693237","0.9679077863693237","1410","1410","1410","0.9680778980255127","0.9680778980255127","0.9680778980255127"
"84","2435","2435","2435","0.9679471850395203","0.9679471850395203","0.9679471850395203","1427","1427","1427","0.9832993745803833","0.9832993745803833","0.9832993745803833"
"85","2464","2464","2464","0.967979371547699","0.967979371547699","0.967979371547699","1444","1444","1444","0.9681427478790283","0.9681427478790283","0.9681427478790283"
"86","2493","2493","2493","0.9680496454238892","0.9680496454238892","0.9680496454238892","1461","1461","1461","0.9679450988769531","0.9679450988769531","0.9679450988769531"
"87","2522","2522","2522","0.9681040048599243","0.9681040048599243","0.9681040048599243","1478","1478","1478","0.9766924381256104","0.9766924381256104","0.9766924381256104"
"88","2551","2551","2551","0.9678537249565125","0.9678537249565125","0.9678537249565125","1495","1495","1495","0.983319103717804","0.983319103717804","0.983319103717804"
"89","2580","2580","2580","0.9833235740661621","0.9833235740661621","0.9833235740661621","1512","1512","1512","0.9825733304023743","0.9825733304023743","0.9825733304023743"
"90","2609","2609","2609","0.9832335710525513","0.9832335710525513","0.9832335710525513","1529","1529","1529","0.9833406209945679","0.9833406209945679","0.9833406209945679"
"91","2638","2638","2638","0.9526875019073486","0.9526875019073486","0.9526875019073486","1546","1546","1546","0.9526856541633606","0.9526856541633606","0.9526856541633606"
"92","2667","2667","2667","0.9832532405853271","0.9832532405853271","0.9832532405853271","1563","1563","1563","0.9680945873260498","0.9680945873260498","0.9680945873260498"
"93","2696","2696","2696","0.9834052324295044","0.9834052324295044","0.9834052324295044","1580","1580","1580","0.9833871722221375","0.9833871722221375","0.9833871722221375"
"94","2725","2725","2725","0.9679509997367859","0.9679509997367859","0.9679509997367859","1597","1597","1597","0.9833036661148071","0.9833036661148071","0.9833036661148071"
"95","2754","2754","2754","0.983304500579834","0.983304500579834","0.983304500579834","1614","1614","1614","0.9681174159049988","0.9681174159049988","0.9681174159049988"
"96","2783","2783","2783","0.9832985401153564","0.9832985401153564","0.9832985401153564","1631","1631","1631","0.9832576513290405","0.9832576513290405","0.9832576513290405"
"97","2812","2812","2812","0.9679062962532043","0.9679062962532043","0.9679062962532043","1648","1648","1648","0.952786922454834","0.952786922454834","0.952786922454834"
"98","2841","2841","2841","0.9833159446716309","0.9833159446716309","0.9833159446716309","1665","1665","1665","0.9833322763442993","0.9833322763442993","0.9833322763442993"
"99","2870","2870","2870","0.9679254293441772","0.9679254293441772","0.9679254293441772","1682","1682","1682","0.952778697013855","0.952778697013855","0.952778697013855"
"100","2899","2899","2899","0.9679723978042603","0.9679723978042603","0.9679723978042603","1699","1699","1699","0.9833676815032959","0.9833676815032959","0.9833676815032959"
"101","2928","2928","2928","0.9527952671051025","0.9527952671051025","0.9527952671051025","1716","1716","1716","0.9832726716995239","0.9832726716995239","0.9832726716995239"
"102","2957","2957","2957","0.9833983182907104","0.9833983182907104","0.9833983182907104","1733","1733","1733","0.9673996567726135","0.9673996567726135","0.9673996567726135"
"103","2986","2986","2986","0.9834339618682861","0.9834339618682861","0.9834339618682861","1750","1750","1750","0.9529303312301636","0.9529303312301636","0.9529303312301636"
"104","3015","3015","3015","0.9375118017196655","0.9375118017196655","0.9375118017196655","1767","1767","1767","0.9681048393249512","0.9681048393249512","0.9681048393249512"
"105","3044","3044","3044","0.958694577217102","0.958694577217102","0.958694577217102","1784","1784","1784","0.9832829236984253","0.9832829236984253","0.9832829236984253"
"106","3073","3073","3073","0.9834234714508057","0.9834234714508057","0.9834234714508057","1801","1801","1801","0.968014657497406","0.968014657497406","0.968014657497406"
"107","3102","3102","3102","0.9530009031295776","0.9530009031295776","0.9530009031295776","1818","1818","1818","0.9679270386695862","0.9679270386695862","0.9679270386695862"
"108","3131","3131","3131","0.9679900407791138","0.9679900407791138","0.9679900407791138","1835","1835","1835","0.9376877546310425","0.9376877546310425","0.9376877546310425"
"109","3160","3160","3160","0.9526424407958984","0.9526424407958984","0.9526424407958984","1852","1852","1852","0.9527443647384644","0.9527443647384644","0.9527443647384644"
"110","3189","3189","3189","0.9833954572677612","0.9833954572677612","0.9833954572677612","1869","1869","1869","0.9833037853240967","0.9833037853240967","0.9833037853240967"
"111","3218","3218","3218","0.9679703712463379","0.9679703712463379","0.9679703712463379","1886","1886","1886","0.968174397945404","0.968174397945404","0.968174397945404"
"112","3247","3247","3247","0.9832214117050171","0.9832214117050171","0.9832214117050171","1903","1903","1903","0.9680145978927612","0.9680145978927612","0.9680145978927612"
"113","3276","3276","3276","0.9682250022888184","0.9682250022888184","0.9682250022888184","1920","1920","1920","0.9824889898300171","0.9824889898300171","0.9824889898300171"
"114","3305","3305","3305","0.9529960751533508","0.9529960751533508","0.9529960751533508","1937","1937","1937","0.9528475403785706","0.9528475403785706","0.9528475403785706"
"115","3334","3334","3334","0.9372562170028687","0.9372562170028687","0.9372562170028687","1954","1954","1954","0.9527015686035156","0.9527015686035156","0.9527015686035156"
"116","3363","3363","3363","0.9528433084487915","0.9528433084487915","0.9528433084487915","1971","1971","1971","0.9373615980148315","0.9373615980148315","0.9373615980148315"
"117","3392","3392","3392","0.9529954195022583","0.9529954195022583","0.9529954195022583","1988","1988","1988","0.9526479244232178","0.9526479244232178","0.9526479244232178"
"118","3421","3421","3421","0.967918872833252","0.967918872833252","0.967918872833252","2005","2005","2005","0.9117462038993835","0.9117462038993835","0.9117462038993835"
"119","3450","3450","3450","0.983250617980957","0.983250617980957","0.983250617980957","2022","2022","2022","0.9346466660499573","0.9346466660499573","0.9346466660499573"
"120","3479","3479","3479","0.9833710193634033","0.9833710193634033","0.9833710193634033","2039","2039","2039","0.95200514793396","0.95200514793396","0.95200514793396"
"121","3508","3508","3508","0.9366782903671265","0.9366782903671265","0.9366782903671265","2056","2056","2056","0.8862195014953613","0.8862195014953613","0.8862195014953613"
"122","3537","3537","3537","0.9681970477104187","0.9681970477104187","0.9681970477104187","2073","2073","2073","0.8953529596328735","0.8953529596328735","0.8953529596328735"
"123","3566","3566","3566","0.953029990196228","0.953029990196228","0.953029990196228","2090","2090","2090","0.9243898987770081","0.9243898987770081","0.9243898987770081"
"124","3595","3595","3595","0.9528982043266296","0.9528982043266296","0.9528982043266296","2107","2107","2107","0.8757327795028687","0.8757327795028687","0.8757327795028687"
"125","3624","3624","3624","0.9377943277359009","0.9377943277359009","0.9377943277359009","2124","2124","2124","0.889873743057251","0.889873743057251","0.889873743057251"
"126","3653","3653","3653","0.968052327632904","0.968052327632904","0.968052327632904","2141","2141","2141","0.9527649879455566","0.9527649879455566","0.9527649879455566"
"127","3682","3682","3682","0.9834291934967041","0.9834291934967041","0.9834291934967041","2158","2158","2158","0.9373267292976379","0.9373267292976379","0.9373267292976379"
"128","3711","3711","3711","0.952607274055481","0.952607274055481","0.952607274055481","2175","2175","2175","0.9512616991996765","0.9512616991996765","0.9512616991996765"
"129","3740","3740","3740","0.9834375381469727","0.9834375381469727","0.9834375381469727","2192","2192","2192","0.9372893571853638","0.9372893571853638","0.9372893571853638"
"130","3769","3769","3769","0.906697154045105","0.906697154045105","0.906697154045105","2209","2209","2209","0.9269618988037109","0.9269618988037109","0.9269618988037109"
"131","3798","3798","3798","0.9833216071128845","0.9833216071128845","0.9833216071128845","2226","2226","2226","0.9523601531982422","0.9523601531982422","0.9523601531982422"
"132","3827","3827","3827","0.9222097396850586","0.9222097396850586","0.9222097396850586","2243","2243","2243","0.9669870734214783","0.9669870734214783","0.9669870734214783"
"133","3856","3856","3856","0.9527090787887573","0.9527090787887573","0.9527090787887573","2260","2260","2260","0.9372950792312622","0.9372950792312622","0.9372950792312622"
"134","3885","3885","3885","0.9527395367622375","0.9527395367622375","0.9527395367622375","2277","2277","2277","0.9218571782112122","0.9218571782112122","0.9218571782112122"
"135","3914","3914","3914","0.9558528661727905","0.9558528661727905","0.9558528661727905","2294","2294","2294","0.8803128004074097","0.8803128004074097","0.8803128004074097"
"136","3943","3943","3943","0.9406374096870422","0.9406374096870422","0.9406374096870422","2311","2311","2311","0.8777853846549988","0.8777853846549988","0.8777853846549988"
"137","3972","3972","3972","0.8912844657897949","0.8912844657897949","0.8912844657897949","2328","2328","2328","0.9523062705993652","0.9523062705993652","0.9523062705993652"
"138","4001","4001","4001","0.9219396114349365","0.9219396114349365","0.9219396114349365","2345","2345","2345","0.9368846416473389","0.9368846416473389","0.9368846416473389"
"139","4030","4030","4030","0.8443682789802551","0.8443682789802551","0.8443682789802551","2362","2362","2362","0.9353286027908325","0.9353286027908325","0.9353286027908325"
"140","4059","4059","4059","0.853101372718811","0.853101372718811","0.853101372718811","2379","2379","2379","0.9522819519042969","0.9522819519042969","0.9522819519042969"
"141","4088","4088","4088","0.886246919631958","0.886246919631958","0.886246919631958","2396","2396","2396","0.9216739535331726","0.9216739535331726","0.9216739535331726"
"142","4117","4117","4117","0.938068687915802","0.938068687915802","0.938068687915802","2413","2413","2413","0.9594213962554932","0.9594213962554932","0.9594213962554932"
"143","4146","4146","4146","0.9158585071563721","0.9158585071563721","0.9158585071563721","2430","2430","2430","0.7926889657974243","0.7926889657974243","0.7926889657974243"
